region;sity;name;adress;edrpou
М.КИЇВ; Київ;"КНП ""МІСЬКИЙ ЗАКЛАД З НАДАННЯ ПСИХІАТРИЧНОЇ ДОПОМОГИ "" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; МИРОПІЛЬСЬКА, будинок 8;01993992
М.КИЇВ; Київ;"КНП ""КЛІНІЧНИЙ ЗАКЛАД З НАДАННЯ ПСИХІАТРИЧНОЇ ДОПОМОГИ ""ПСИХІАТРІЯ"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; КИРИЛІВСЬКА, будинок 103;01994072
М.КИЇВ; Київ;Державне некомерційне підприємство «Національна дитяча спеціалізована лікарня «Охматдит» МОЗ України»;Чорновола Вячеслава, будинок 28/1;01994089
М.КИЇВ; Київ;"КНП ""СВЯТО-МИХАЙЛІВСЬКА КЛІНІЧНА ЛІКАРНЯ М. КИЄВА"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; ШОВКОВИЧНА, будинок 39/1;01994095
М.КИЇВ; Київ;НАЦІОНАЛЬНИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ ІМЕНІ О.О.БОГОМОЛЬЦЯ; ТАРАСА ШЕВЧЕНКА, будинок 13;02010787
М.КИЇВ; Київ;"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ ОТОЛАРИНГОЛОГІЇ ІМ. ПРОФ. О.С. КОЛОМІЙЧЕНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ МЕДИЧНИХ НАУК УКРАЇНИ"""; ЗООЛОГІЧНА, будинок 3;02011870
М.КИЇВ; Київ;"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ УРОЛОГІЇ ІМЕНІ АКАДЕМІКА О.Ф.ВОЗІАНОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ МЕДИЧНИХ НАУК УКРАЇНИ"""; ВОЛОДИМИРА ВИННИЧЕНКА, будинок 9-А;02011918
М.КИЇВ; Київ;"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ НЕЙРОХІРУРГІЇ ІМ.АКАД. А.П.РОМОДАНОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ МЕДИЧНИХ НАУК УКРАЇНИ"""; ПЛАТОНА МАЙБОРОДИ, будинок 32;02011930
М.КИЇВ; Київ;"ДЕРЖАВНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НАЦІОНАЛЬНИЙ ІНСТИТУТ РАКУ""";Здановської Юлії, будинок 33/43;02011976
М.КИЇВ; Київ;"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ ТРАВМАТОЛОГІЇ ТА ОРТОПЕДІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ МЕДИЧНИХ НАУК УКРАЇНИ""";БульварНО-КУДРЯВСЬКА, будинок 27;02012007
М.КИЇВ; Київ;"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ ЕНДОКРИНОЛОГІЇ ТА ОБМІНУ РЕЧОВИН ІМ. В. П. КОМІСАРЕНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ МЕДИЧНИХ НАУК УКРАЇНИ"""; ВИШГОРОДСЬКА, будинок 69;02012013
М.КИЇВ; Київ;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ № 1"" ДЕСНЯНСЬКОГО РАЙОНУ М. КИЄВА";Червоної Калини, будинок 32-Б;02064116
М.КИЇВ; Київ;"Комунальне некомерційне підприємство ""Київський міський центр репродуктивної та перинатальної медицини"" виконавчого органу Київської міської ради (Київської міської державної адміністрації)";Івасюка Володимира, будинок 16;02124976
М.КИЇВ; Київ;"КНП ""КИЇВСЬКА МІСЬКА СТУДЕНТСЬКА ПОЛІКЛІНІКА"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)";  ПОЛІТЕХНІЧНА, будинок 25/29;02125800
М.КИЇВ; Київ;"КНП ""КИЇВСЬКА МІСЬКА ДИТЯЧА КЛІНІЧНА ЛІКАРНЯ №1"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; БОГАТИРСЬКА , будинок 30;04350694
М.КИЇВ; Київ;"КНП ""КОНСУЛЬТАТИВНО-ДІАГНОСТИЧНИЙ ЦЕНТР"" СОЛОМ'ЯНСЬКОГО РАЙОНУ М.КИЄВА"; ГАРМАТНА , будинок 36;04593340
М.КИЇВ; Київ;"КЛІНІЧНА ЛІКАРНЯ ""ФЕОФАНІЯ"" ДЕРЖАВНОГО УПРАВЛІННЯ СПРАВАМИ"; АКАДЕМІКА ЗАБОЛОТНОГО, будинок 21;05415792
