region;sity;name;adress;edrpou
М.КИЇВ; Київ;"КНП ""КИЇВСЬКА МІСЬКА ДИТЯЧА КЛІНІЧНА ЛІКАРНЯ № 2"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; АЛІШЕРА НАВОЇ, будинок 3;05415941
М.КИЇВ; Київ;"КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ  ПІДПРИЄМСТВО ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №3"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; ПЕТРА ЗАПОРОЖЦЯ, будинок 26;05415958
М.КИЇВ; Київ;"КНП ""ДЕРМАТОВЕНЕРОЛОГІЯ"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; САКСАГАНСЬКОГО, будинок 72;05416248
М.КИЇВ; Київ;"ДЕРЖАВНА НАУКОВА УСТАНОВА ""ЦЕНТР ІННОВАЦІЙНИХ МЕДИЧНИХ ТЕХНОЛОГІЙ НАН УКРАЇНИ"""; ВОЗНЕСЕНСЬКИЙ УЗВІЗ, будинок 22;05417590
М.КИЇВ; Київ;"КНП ""МЕДИЧНИЙ ЦЕНТР РЕАБІЛІТАЦІЇ ТА ПАЛІАТИВНОЇ ДОПОМОГИ"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; ФЕДОРА МАКСИМЕНКА, будинок 26;05492309
М.КИЇВ; Київ;"ДЕРЖАВНА УСТАНОВА ""НАЦІОНАЛЬНИЙ ІНСТИТУТ СЕРЦЕВО-СУДИННОЇ ХІРУРГІЇ ІМЕНІ М.М.АМОСОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ МЕДИЧНИХ НАУК УКРАЇНИ"""; АМОСОВА, будинок 6;05493562
М.КИЇВ; Київ;"КНП ""КОНСУЛЬТАТИВНО-ДІАГНОСТИЧНИЙ ЦЕНТР"" ОБОЛОНСЬКОГО РАЙОНУ М. КИЄВА";Лук'яненка Левка, будинок 14;05494828
М.КИЇВ; Київ;"КНП ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ № 7"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; КОТЕЛЬНИКОВА, будинок 95;05494840
М.КИЇВ; Київ;"КНП ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №8"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; ЮРІЯ КОНДРАТЮКА, будинок 8;05497146
М.КИЇВ; Київ;"КНП ""КИЇВСЬКИЙ МІСЬКИЙ КЛІНІЧНИЙ ОНКОЛОГІЧНИЙ ЦЕНТР""  ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; ВЕРХОВИННА, будинок 69;13697965
М.КИЇВ; Київ;АКЦІОНЕРНЕ ТОВАРИСТВО «АНТОНОВ»;Мрії, будинок 1;14307529
М.КИЇВ; Київ;"ДЕРЖАВНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ МЕДИЧНИЙ ЦЕНТР РЕАБІЛІТАЦІЇ ДІТЕЙ З ОРГАНІЧНИМ УРАЖЕННЯМ НЕРВОВОЇ СИСТЕМИ МІНІСТЕРСТВА ОХОРОНИ ЗДОРОВ'Я УКРАЇНИ""";Богатирська, будинок 30;20072556
М.КИЇВ; Київ;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ № 2"" ДЕСНЯНСЬКОГО РАЙОНУ М. КИЄВА";Рейгана Рональда, будинок 19;21467676
М.КИЇВ; Київ;"КНП ""КИЇВСЬКИЙ МІСЬКИЙ ЦЕНТР РАДІАЦІЙНОГО ЗАХИСТУ НАСЕЛЕННЯ МІСТА КИЄВА ВІД НАСЛІДКІВ ЧОРНОБИЛЬСЬКОЇ КАТАСТРОФИ"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)"; ПУШКІНСЬКА, будинок 40;21490652
М.КИЇВ; Київ, ;"ДЕРЖАВНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""УКРАЇНСЬКИЙ НАУКОВО-ПРАКТИЧНИЙ ЦЕНТР ЕНДОКРИННОЇ ХІРУРГІЇ, ТРАНСПЛАНТАЦІЇ ЕНДОКРИННИХ ОРГАНІВ І ТКАНИН МІНІСТЕРСТВА ОХОРОНИ ЗДОРОВ'Я УКРАЇНИ""";Кловський узвіз, будинок 13А;22863747
М.КИЇВ; Київ;"ДЕРЖАВНА УСТАНОВА ""ІНСТИТУТ МЕДИЦИНИ ПРАЦІ ІМЕНІ Ю.І. КУНДІЄВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ МЕДИЧНИХ НАУК УКРАЇНИ"""; САКСАГАНСЬКОГО, будинок 75;22946309
М.КИЇВ; Київ;"КНП ""ПЕРИНАТАЛЬНИЙ ЦЕНТР М. КИЄВА"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)";Лобановського Валерія, будинок 2;22964365
М.КИЇВ; Київ;"КНП ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ №2"" ОБОЛОНСЬКОГО РАЙОНУ М.КИЄВА";Литовський, будинок 8;23379143
М.КИЇВ; Київ;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МЕДИЧНИЙ КОМПЛЕКС ""МРІЯ"""; БУДІНДУСТРІЇ, будинок 5 А;25201395
М.КИЇВ; Київ;"КНП ""КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №6"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)";Гузара Любомира, будинок 3;25680355
